grade,math,gender,classtype,ethnicity,lunch
k,478,female,regular+aide,cauc,non-free
k,520,male,regular,afam,free
k,449,female,regular,afam,free
k,418,female,regular+aide,afam,non-free
k,513,female,small,cauc,free
k,405,female,small,afam,free
k,454,female,regular,cauc,free
k,494,female,small,cauc,non-free
k,520,female,regular+aide,cauc,non-free
k,439,male,regular+aide,afam,free
k,489,male,regular,cauc,free
k,494,male,small,cauc,non-free
k,528,female,regular+aide,afam,free
k,500,female,small,cauc,non-free
k,429,male,regular,cauc,free
k,576,male,small,cauc,non-free
k,463,male,regular,afam,free
k,489,male,regular,cauc,non-free
k,434,female,regular,cauc,non-free
k,500,female,regular+aide,cauc,non-free
k,459,male,regular+aide,afam,free
k,484,male,regular,cauc,free
k,520,female,small,cauc,non-free
k,484,female,small,cauc,free
k,468,female,small,cauc,non-free
k,459,female,regular,afam,free
k,528,male,regular+aide,cauc,free
k,576,male,small,cauc,non-free
k,459,female,regular+aide,cauc,non-free
k,468,male,regular+aide,cauc,non-free
k,489,male,regular,cauc,non-free
k,459,female,small,afam,non-free
k,429,male,regular,afam,free
k,423,male,small,cauc,non-free
k,454,male,regular+aide,afam,free
k,478,female,regular,cauc,non-free
k,489,female,small,cauc,non-free
k,463,male,regular+aide,cauc,non-free
k,439,male,regular,afam,free
k,473,male,small,cauc,non-free
k,412,male,regular+aide,afam,free
k,463,female,regular,cauc,non-free
k,444,male,regular,cauc,free
k,520,male,small,cauc,non-free
k,484,female,regular+aide,afam,free
k,399,male,regular,cauc,non-free
k,489,male,regular+aide,cauc,non-free
k,520,male,regular,cauc,non-free
k,434,male,regular,cauc,non-free
k,576,male,small,cauc,non-free
k,423,male,small,afam,free
k,489,female,small,afam,free
k,500,female,regular,afam,non-free
k,484,female,regular+aide,cauc,non-free
k,506,female,regular+aide,cauc,non-free
k,449,male,regular+aide,cauc,free
k,473,male,small,cauc,non-free
k,520,female,small,cauc,non-free
k,434,male,regular+aide,cauc,non-free
k,434,male,small,afam,free
k,489,male,small,cauc,non-free
k,536,male,small,cauc,free
k,536,female,regular,cauc,non-free
k,500,male,small,cauc,free
k,484,male,regular+aide,cauc,free
k,429,female,regular+aide,afam,free
k,478,female,regular+aide,cauc,non-free
k,429,male,regular,cauc,non-free
k,528,female,regular+aide,cauc,non-free
k,418,male,regular+aide,cauc,non-free
k,434,male,regular,cauc,free
k,463,female,regular+aide,cauc,free
k,454,female,regular+aide,cauc,non-free
k,423,female,regular+aide,cauc,free
k,602,female,small,afam,free
k,434,female,regular,afam,free
k,439,male,regular+aide,cauc,non-free
k,500,female,small,afam,free
k,463,male,regular+aide,cauc,non-free
k,536,female,regular+aide,cauc,free
k,506,male,regular,cauc,non-free
k,434,female,regular+aide,afam,free
k,444,male,regular+aide,cauc,non-free
k,489,male,regular+aide,cauc,free
k,449,male,regular,cauc,free
k,528,female,small,cauc,non-free
k,489,male,regular,cauc,non-free
k,576,male,regular,cauc,non-free
k,506,female,regular+aide,cauc,non-free
k,439,female,regular+aide,cauc,free
k,484,male,regular+aide,cauc,non-free
k,478,male,regular+aide,cauc,free
k,484,female,regular,afam,free
k,506,male,small,cauc,free
k,506,female,small,cauc,free
k,500,male,regular,cauc,non-free
k,423,male,regular,cauc,non-free
k,528,female,regular+aide,afam,free
k,423,male,regular,cauc,non-free
k,484,female,small,cauc,free
k,576,female,small,cauc,non-free
k,528,male,regular+aide,cauc,free
k,468,male,regular+aide,cauc,non-free
k,423,male,small,cauc,free
k,439,female,regular,afam,non-free
k,500,female,regular,cauc,non-free
k,449,male,regular,afam,non-free
k,484,female,regular+aide,cauc,non-free
k,520,female,regular+aide,afam,free
k,418,female,regular,afam,free
k,559,male,regular+aide,cauc,free
k,354,male,regular+aide,afam,free
k,463,male,regular+aide,cauc,non-free
k,429,female,small,cauc,free
k,449,female,regular,cauc,free
k,423,male,small,cauc,non-free
k,520,female,regular,cauc,free
k,429,male,regular,afam,free
k,473,male,regular,cauc,non-free
k,536,male,regular,cauc,non-free
k,484,male,regular,cauc,non-free
k,473,male,small,cauc,non-free
k,500,male,small,afam,free
k,528,female,small,cauc,non-free
k,439,male,small,afam,free
k,536,female,small,cauc,free
k,506,female,small,cauc,non-free
k,468,male,small,afam,free
k,489,male,regular,cauc,non-free
k,536,male,regular+aide,afam,non-free
k,484,female,regular+aide,cauc,non-free
k,444,female,regular+aide,afam,free
k,576,male,small,cauc,non-free
k,454,male,regular,cauc,non-free
k,478,male,regular,cauc,free
k,444,female,regular+aide,cauc,free
k,439,male,small,cauc,non-free
k,576,male,regular+aide,afam,free
k,489,male,small,afam,non-free
k,468,female,regular+aide,afam,free
k,489,male,small,cauc,non-free
k,528,male,regular+aide,cauc,non-free
k,484,male,small,cauc,non-free
k,434,male,small,cauc,free
k,473,female,regular+aide,cauc,free
k,559,male,small,cauc,non-free
k,494,male,small,afam,non-free
k,412,female,small,cauc,free
k,559,female,regular,cauc,non-free
k,463,male,regular,afam,free
k,449,male,small,afam,free
k,520,female,regular+aide,cauc,non-free
k,489,female,regular+aide,afam,free
k,500,female,regular,cauc,non-free
k,459,male,regular+aide,cauc,non-free
k,559,female,regular+aide,afam,non-free
k,494,male,small,cauc,free
k,547,female,regular+aide,afam,non-free
k,449,male,regular,afam,free
k,468,male,regular,cauc,free
k,500,male,regular,cauc,non-free
k,473,female,regular,afam,free
k,513,female,small,cauc,non-free
k,513,female,regular,cauc,non-free
k,506,female,regular+aide,cauc,non-free
k,478,female,regular+aide,cauc,non-free
k,444,male,regular,afam,free
k,500,female,small,afam,free
k,399,female,regular+aide,afam,free
k,484,female,regular,cauc,non-free
k,520,male,regular,cauc,non-free
k,473,male,small,afam,free
k,489,male,regular+aide,afam,free
k,520,female,regular+aide,cauc,non-free
k,494,female,small,cauc,free
k,473,male,regular,cauc,free
k,439,male,regular,afam,non-free
k,528,female,small,cauc,non-free
k,473,female,regular,cauc,free
k,547,male,regular,cauc,non-free
k,547,male,small,cauc,non-free
k,478,female,regular+aide,cauc,non-free
k,434,female,regular+aide,cauc,free
k,473,male,regular+aide,afam,free
k,528,male,small,cauc,non-free
k,459,male,regular,cauc,non-free
k,463,female,small,cauc,non-free
k,506,male,regular+aide,afam,free
k,439,male,regular+aide,cauc,non-free
k,418,male,regular,cauc,free
k,489,male,regular,cauc,non-free
k,559,female,small,cauc,non-free
k,513,female,regular+aide,cauc,non-free
k,412,male,small,afam,free
k,484,female,small,afam,non-free
k,444,male,regular,afam,free
k,449,male,small,afam,free
k,489,male,regular+aide,cauc,non-free
k,576,female,regular+aide,cauc,non-free
k,520,male,regular+aide,cauc,non-free
k,506,female,regular+aide,cauc,non-free
k,559,male,regular+aide,cauc,non-free
k,459,female,regular+aide,cauc,non-free
k,536,female,regular,afam,free
k,439,male,regular+aide,cauc,non-free
k,478,male,small,afam,free
k,449,male,regular,afam,free
k,528,male,regular+aide,cauc,non-free
k,484,male,regular+aide,afam,free
k,468,female,regular,afam,free
k,576,male,regular+aide,cauc,non-free
k,484,male,small,cauc,non-free
k,494,female,small,afam,non-free
k,520,male,small,cauc,non-free
k,454,female,regular,cauc,free
k,444,female,regular,cauc,non-free
k,520,male,regular,cauc,non-free
k,494,male,small,cauc,non-free
k,494,female,regular,cauc,non-free
k,513,male,regular+aide,cauc,non-free
k,484,male,regular,cauc,non-free
k,463,female,regular,cauc,non-free
k,434,female,regular+aide,cauc,non-free
k,484,male,regular,afam,free
k,520,female,small,cauc,non-free
k,513,male,small,afam,free
k,528,female,small,afam,free
k,478,male,small,cauc,free
k,412,female,regular+aide,afam,free
k,547,male,regular+aide,cauc,non-free
k,444,female,small,cauc,non-free
k,399,male,regular,cauc,free
k,459,male,regular,cauc,free
k,536,male,small,cauc,free
k,478,female,regular,afam,free
k,602,male,regular,cauc,non-free
k,454,female,small,afam,free
k,559,female,regular,afam,free
k,444,male,regular+aide,cauc,non-free
k,536,female,regular,afam,non-free
k,418,female,small,cauc,free
k,468,male,regular+aide,cauc,non-free
k,478,female,regular,cauc,non-free
k,520,male,regular+aide,cauc,non-free
k,429,female,regular,cauc,non-free
k,459,male,small,cauc,non-free
k,473,male,regular+aide,afam,free
k,405,female,regular,cauc,free
k,520,male,regular,cauc,non-free
k,547,female,small,afam,free
k,489,female,regular,cauc,non-free
k,500,female,regular+aide,cauc,non-free
k,520,male,small,cauc,non-free
k,478,female,small,cauc,non-free
k,463,female,regular,cauc,non-free
k,418,female,regular,cauc,non-free
k,520,female,small,cauc,non-free
k,559,female,small,cauc,non-free
k,468,male,regular+aide,cauc,free
k,434,female,regular+aide,afam,free
k,405,female,regular+aide,afam,free
k,449,female,regular,afam,free
k,500,female,regular+aide,afam,free
k,602,female,regular+aide,afam,free
k,478,male,regular,cauc,non-free
k,547,female,regular+aide,cauc,non-free
k,489,male,small,cauc,non-free
k,444,female,small,cauc,non-free
k,576,male,small,cauc,non-free
k,513,female,regular,cauc,free
k,489,male,regular,cauc,free
k,484,female,regular,cauc,non-free
k,468,female,regular,cauc,free
k,602,male,regular,cauc,free
k,434,female,small,cauc,non-free
k,528,female,small,cauc,non-free
k,439,male,regular,afam,free
k,439,male,regular,afam,free
k,506,female,regular+aide,cauc,non-free
k,463,male,regular+aide,cauc,non-free
k,536,male,regular,cauc,non-free
k,506,male,regular+aide,cauc,non-free
k,484,male,regular+aide,cauc,non-free
k,506,male,regular+aide,afam,free
k,434,male,small,cauc,non-free
k,506,male,small,cauc,non-free
k,444,male,regular,cauc,non-free
k,513,male,small,afam,free
k,506,male,regular,cauc,non-free
k,500,female,small,cauc,non-free
k,459,male,small,cauc,free
k,484,male,small,cauc,non-free
k,444,male,regular,cauc,free
k,384,male,regular,afam,free
k,439,male,regular,cauc,non-free
k,459,female,regular,cauc,non-free
k,463,female,regular,afam,free
k,494,female,regular,cauc,non-free
k,489,male,regular+aide,cauc,free
k,489,male,regular+aide,cauc,free
k,418,male,small,cauc,free
k,429,female,regular+aide,afam,free
k,513,male,regular+aide,cauc,non-free
k,473,female,regular+aide,cauc,free
k,484,female,regular,cauc,non-free
k,454,female,regular+aide,cauc,free
k,392,male,regular,cauc,free
k,528,male,regular+aide,afam,free
k,429,male,regular+aide,afam,free
k,459,female,regular,afam,free
k,484,male,small,cauc,non-free
k,444,female,regular,afam,free
k,500,female,regular+aide,cauc,non-free
k,429,male,regular,afam,free
k,506,female,regular,cauc,free
k,478,female,small,cauc,free
k,536,female,small,cauc,free
k,506,female,regular,cauc,non-free
k,513,male,small,cauc,non-free
k,494,male,regular,cauc,non-free
k,494,male,regular+aide,cauc,free
k,528,male,regular+aide,cauc,non-free
k,506,male,regular,cauc,free
k,513,female,regular,cauc,free
k,513,female,small,cauc,free
k,468,male,small,afam,free
k,399,female,regular+aide,cauc,non-free
k,478,female,small,afam,free
k,423,female,regular,afam,free
k,559,female,regular,cauc,non-free
k,449,female,regular,cauc,non-free
k,434,female,regular,afam,free
k,434,male,regular,cauc,non-free
k,434,female,small,afam,free
k,602,female,regular+aide,afam,free
k,478,male,regular+aide,afam,free
k,513,female,small,cauc,free
k,547,female,regular,cauc,non-free
k,513,female,small,cauc,non-free
k,484,female,regular+aide,cauc,non-free
k,412,male,regular,cauc,non-free
k,473,female,regular,cauc,non-free
k,602,male,regular+aide,cauc,free
k,473,male,regular+aide,cauc,free
k,547,female,small,cauc,free
k,559,male,small,cauc,non-free
k,478,female,regular+aide,cauc,non-free
k,423,male,regular+aide,cauc,non-free
k,439,male,regular+aide,afam,free
k,478,male,regular,cauc,non-free
k,494,female,regular,cauc,non-free
k,489,female,small,afam,free
k,536,female,small,cauc,non-free
k,454,female,small,cauc,free
k,434,male,regular+aide,afam,non-free
k,439,female,regular+aide,cauc,free
k,500,male,regular,cauc,free
k,454,male,regular+aide,cauc,non-free
k,444,male,regular,afam,free
k,449,female,regular,afam,free
k,405,male,small,afam,free
k,528,male,small,cauc,non-free
k,528,male,regular+aide,cauc,non-free
k,399,male,regular+aide,afam,free
k,459,female,small,afam,free
k,506,male,regular+aide,cauc,non-free
k,489,female,regular,afam,free
k,439,female,small,cauc,non-free
k,602,female,small,afam,free
k,444,male,small,afam,free
k,484,female,regular+aide,cauc,non-free
k,506,male,regular+aide,afam,non-free
k,454,male,small,cauc,non-free
k,412,female,regular+aide,cauc,non-free
k,494,male,small,cauc,non-free
k,439,male,regular+aide,afam,free
k,520,female,small,cauc,non-free
k,459,male,small,cauc,free
k,468,female,regular,afam,free
k,459,female,regular+aide,cauc,free
k,454,male,regular,cauc,non-free
k,602,male,small,cauc,free
k,500,male,small,cauc,non-free
k,559,male,small,cauc,non-free
k,454,male,regular+aide,cauc,free
k,513,male,regular+aide,afam,free
k,536,male,regular,cauc,non-free
k,473,male,regular,cauc,non-free
k,478,male,regular,cauc,free
k,478,female,regular,afam,free
k,459,female,regular+aide,cauc,free
k,459,female,regular+aide,cauc,free
k,602,male,regular+aide,cauc,non-free
k,463,male,small,cauc,non-free
k,429,male,regular+aide,cauc,non-free
k,506,female,small,afam,free
k,399,male,regular,afam,free
k,449,female,regular+aide,afam,free
k,489,male,regular+aide,afam,non-free
k,434,female,regular+aide,afam,free
k,547,male,small,cauc,non-free
k,444,male,regular+aide,afam,free
k,484,male,regular+aide,cauc,non-free
k,418,female,regular+aide,cauc,free
k,478,male,regular,cauc,free
k,489,female,small,afam,non-free
k,444,female,regular,cauc,free
k,423,male,small,afam,free
k,528,male,small,cauc,non-free
k,513,female,regular+aide,cauc,non-free
k,547,female,small,cauc,non-free
k,547,male,regular,cauc,non-free
k,449,male,regular+aide,cauc,non-free
k,444,female,regular+aide,afam,free
k,468,male,small,cauc,non-free
k,454,male,regular,cauc,non-free
k,602,female,regular+aide,afam,free
k,444,female,regular+aide,cauc,free
k,449,female,regular+aide,cauc,non-free
k,506,female,regular,cauc,non-free
k,559,male,small,cauc,free
k,513,female,regular+aide,cauc,non-free
k,423,male,regular,cauc,non-free
k,463,female,regular+aide,cauc,free
k,500,female,regular,cauc,non-free
k,520,female,regular+aide,afam,non-free
k,489,female,regular,cauc,free
k,576,male,regular+aide,cauc,non-free
k,473,female,regular+aide,cauc,non-free
k,520,male,regular,cauc,free
k,439,male,regular,afam,free
k,449,male,regular+aide,afam,free
k,513,female,small,cauc,free
k,478,male,regular,cauc,non-free
k,484,female,regular,cauc,non-free
k,500,female,regular,afam,free
k,536,male,regular+aide,afam,free
k,602,male,small,cauc,non-free
k,547,female,regular+aide,afam,free
k,478,male,regular,cauc,free
k,468,male,small,cauc,non-free
k,459,female,regular,afam,non-free
k,454,male,regular,cauc,non-free
k,506,female,regular,afam,free
k,489,female,regular+aide,cauc,non-free
k,500,female,small,afam,free
k,547,male,regular+aide,cauc,non-free
k,423,male,regular,afam,free
k,459,male,regular+aide,afam,free
k,506,male,small,cauc,non-free
k,520,male,regular+aide,cauc,non-free
k,444,male,regular+aide,afam,non-free
k,478,female,regular+aide,cauc,free
k,528,female,regular+aide,cauc,free
k,444,female,small,cauc,free
k,536,female,regular+aide,afam,free
k,449,male,regular,cauc,non-free
k,478,male,small,afam,free
k,513,female,regular,cauc,non-free
k,489,male,regular+aide,cauc,non-free
k,494,male,regular+aide,afam,free
k,494,male,small,cauc,free
k,506,male,regular+aide,cauc,non-free
k,506,female,small,cauc,non-free
k,405,female,regular+aide,afam,free
k,484,female,regular+aide,cauc,non-free
k,484,male,regular,cauc,non-free
k,536,female,small,cauc,non-free
k,484,female,small,cauc,free
k,576,female,small,afam,free
k,500,male,regular,afam,free
k,473,male,regular,cauc,non-free
k,429,male,small,afam,free
k,478,male,small,cauc,non-free
k,506,male,regular+aide,cauc,non-free
k,536,female,regular+aide,cauc,non-free
k,484,male,small,cauc,non-free
k,506,female,small,cauc,free
k,602,female,regular+aide,cauc,non-free
k,500,male,regular+aide,afam,non-free
k,459,male,small,afam,free
k,454,male,regular+aide,cauc,free
k,478,female,regular+aide,cauc,non-free
k,513,male,regular,cauc,non-free
k,513,male,small,afam,free
k,384,male,regular+aide,afam,free
k,576,female,regular+aide,afam,non-free
k,528,male,small,cauc,non-free
k,626,female,regular+aide,cauc,non-free
k,463,female,small,afam,free
k,454,female,small,cauc,non-free
k,449,male,regular,cauc,non-free
k,484,female,regular+aide,afam,free
k,478,male,regular,afam,free
k,454,male,regular,cauc,non-free
k,468,male,small,cauc,non-free
k,500,female,regular,afam,non-free
k,520,female,small,cauc,free
k,449,female,regular+aide,cauc,free
k,412,male,regular+aide,afam,free
k,536,male,small,afam,non-free
k,626,male,regular+aide,afam,non-free
k,513,female,small,cauc,non-free
k,513,male,regular+aide,cauc,free
k,536,female,small,cauc,non-free
k,500,female,regular,cauc,non-free
k,626,male,small,afam,free
